V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,y
28.67,9.335,2,11,8,5.665,1,1,6,0,2,381,169,1,-1.0,0.008214927278459072,3.3350000381469727,-122150.625,0.2724031209945679,3.4028234663852886e+38,1
47.0,13.0,2,3,5,5.165,1,1,9,1,2,0,1,1,0.0,0.02233048714697361,4.0,-24.109865188598636,0.3135238587856293,3.4028234663852886e+38,0
23.25,12.625,2,8,4,0.125,0,1,2,0,2,0,5553,0,0.0,0.008214927278459072,10.625,-24.109865188598636,0.19885693490505216,3.4028234663852886e+38,1
30.83,0.0,2,9,4,1.25,1,1,1,0,2,202,1,1,-1.0,0.008214927278459072,-1.0,-28615.599609375,3.402823466385289e+38,3.4028234663852886e+38,1
40.58,3.29,2,7,4,3.5,0,0,0,1,1,400,1,0,1.0,0.02233048714697361,3.289999961853028,-135840.921875,0.03686504438519478,3.4028234663852886e+38,1
29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0,1.0,0.02233048714697361,-0.75,-135840.921875,3.402823466385289e+38,3.4028234663852886e+38,1
51.58,15.0,2,8,4,8.5,1,1,9,0,2,0,1,1,-1.0,0.008214927278459072,6.0,-24.109865188598636,0.4052236974239349,3.4028234663852886e+38,1
25.33,0.58,2,8,4,0.29,1,1,7,1,2,96,5125,1,0.0,0.02233048714697361,-6.420000076293945,-3436.144287109375,3.402823466385289e+38,3.4028234663852886e+38,1
22.5,11.5,1,7,4,1.5,0,0,0,1,2,0,4001,0,1.0,0.02233048714697361,11.5,-24.109865188598636,0.2055160999298096,3.4028234663852886e+38,1
33.58,0.335,1,13,4,0.085,0,0,0,0,2,180,1,0,0.0,0.008214927278459072,0.3350000083446503,-21541.673828125,-0.09202520549297333,3.4028234663852886e+38,1
23.5,1.5,2,9,4,0.875,0,0,0,1,2,160,1,0,1.0,0.02233048714697361,1.5,-15950.833984375,0.0341186597943306,3.4028234663852886e+38,0
18.42,10.415,1,6,4,0.125,1,0,0,0,2,120,376,0,0.0,0.008214927278459072,10.414999961853027,-7169.15283203125,0.19717714190483093,3.4028234663852886e+38,1
30.58,2.71,1,7,4,0.125,0,0,0,1,1,80,1,0,1.0,0.02233048714697361,2.7100000381469727,-1587.471923828125,0.030861482024192814,3.4028234663852886e+38,1
17.08,3.29,2,3,4,0.335,0,0,0,1,2,140,3,0,1.0,0.02233048714697361,3.289999961853028,-11159.9931640625,0.100209578871727,3.4028234663852886e+38,1
54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,1,0.0,0.02233048714697361,-1.5850000381469729,889.6293334960938,3.402823466385289e+38,3.4028234663852886e+38,1
31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0,0.0,0.008214927278459072,0.03999999910593033,-24.109865188598636,-0.27085864543914795,3.4028234663852886e+38,1
23.0,0.625,1,6,4,0.125,1,0,0,0,2,180,2,0,0.0,0.008214927278459072,0.625,-21541.673828125,-0.03954938054084778,3.4028234663852886e+38,1
18.83,9.5,2,9,4,1.625,1,1,6,1,2,40,601,1,0.0,0.02233048714697361,3.5,794.2091064453125,0.2833244502544403,3.4028234663852886e+38,0
19.5,0.29,2,4,4,0.29,0,0,0,0,2,280,365,0,0.0,0.008214927278459072,0.2899999916553497,-61495.87890625,-0.10416337847709656,3.4028234663852886e+38,1
22.58,10.75,2,11,4,0.415,1,1,5,1,2,0,561,1,0.0,0.02233048714697361,5.75,-24.109865188598636,0.39559844136238104,3.4028234663852886e+38,0
33.17,1.0,2,14,4,0.75,1,1,7,1,2,340,4072,1,0.0,0.02233048714697361,-6.0,-95068.3984375,3.402823466385289e+38,3.4028234663852886e+38,1
37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0,0.0,0.008214927278459072,2.5,-51905.03515625,0.07710308581590652,3.4028234663852886e+38,0
28.5,3.04,1,14,8,2.54,1,1,1,0,2,70,1,1,-1.0,0.008214927278459072,2.039999961853028,-692.0516967773438,0.16124048829078674,3.4028234663852886e+38,0
20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1,1,-1.0,0.008214927278459072,5.625,-7169.15283203125,0.1437039077281952,3.4028234663852886e+38,1
23.25,1.0,2,8,4,0.835,1,0,0,0,1,300,1,1,-1.0,0.008214927278459072,1.0,-71886.71875,0.0,3.4028234663852886e+38,1
19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,8,0,1.0,0.02233048714697361,8.914999961853027,-27932.515625,0.18409129977226255,3.4028234663852886e+38,1
22.92,0.17,2,7,4,0.085,0,0,0,0,1,0,1,0,0.0,0.008214927278459072,0.17000000178813934,-24.109865188598636,-0.05485258623957634,3.4028234663852886e+38,1
25.0,11.0,1,6,4,4.5,1,0,0,0,2,120,1,0,0.0,0.008214927278459072,11.0,-7169.15283203125,0.20177562534809115,3.4028234663852886e+38,0
50.08,12.54,2,6,4,2.29,1,1,3,1,2,156,1,1,0.0,0.02233048714697361,9.539999961853027,-14928.666015625,0.5101016163825989,3.4028234663852886e+38,0
15.75,0.375,2,8,4,1.0,0,0,0,0,2,120,19,0,0.0,0.008214927278459072,0.375,-7169.15283203125,-0.0825338065624237,3.4028234663852886e+38,0
26.58,2.54,1,1,1,0.0,0,0,0,1,2,180,61,0,1.0,0.02233048714697361,2.539999961853028,-21541.673828125,0.07843878120183945,3.4028234663852886e+38,0
21.5,9.75,2,8,4,0.25,1,0,0,0,2,140,1,0,0.0,0.008214927278459072,9.75,-11159.9931640625,0.19162513315677646,3.4028234663852886e+38,1
22.42,11.25,1,14,8,0.75,1,1,4,0,2,0,322,1,-1.0,0.008214927278459072,7.25,-24.109865188598636,0.44802260398864746,3.4028234663852886e+38,0
27.58,3.0,2,7,4,2.79,0,1,1,1,2,280,11,0,1.0,0.02233048714697361,2.0,-61495.87890625,0.05832623317837715,3.4028234663852886e+38,0
45.0,4.585,2,4,8,1.0,0,0,0,1,1,240,1,0,1.0,0.02233048714697361,4.585000038146973,-43114.1953125,0.047139398753643036,3.4028234663852886e+38,0
28.08,15.0,1,10,9,0.0,1,0,0,0,2,0,13213,1,-1.0,0.008214927278459072,15.0,-24.109865188598636,0.6124517321586609,3.4028234663852886e+38,0
21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0,0.0,0.008214927278459072,4.125,-11159.9931640625,0.11924180388450625,3.4028234663852886e+38,1
24.58,0.67,2,6,8,1.75,1,0,0,0,2,400,1,0,0.0,0.008214927278459072,0.6700000166893005,-135840.921875,-0.033698968589305885,3.4028234663852886e+38,0
33.08,1.625,2,2,4,0.54,0,0,0,1,2,0,1,0,1.0,0.02233048714697361,1.625,-24.109865188598636,0.040854010730981834,3.4028234663852886e+38,0
54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,1,-1.0,0.008214927278459072,0.5,-21541.673828125,-0.15676192939281464,3.4028234663852886e+38,1
51.83,2.04,1,1,1,1.5,0,0,0,0,2,120,2,0,0.0,0.008214927278459072,2.039999961853028,-7169.15283203125,0.05999256670475006,3.4028234663852886e+38,1
23.5,2.75,2,1,1,4.5,0,0,0,0,2,160,26,0,0.0,0.008214927278459072,2.75,-15950.833984375,0.08512315154075623,3.4028234663852886e+38,1
27.0,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1,0.0,0.02233048714697361,-2.25,-78505.21875,3.402823466385289e+38,3.4028234663852886e+38,1
26.17,2.0,2,5,3,0.0,0,0,0,1,2,276,2,0,1.0,0.02233048714697361,2.0,-59513.7109375,0.05832623317837715,3.4028234663852886e+38,0
36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,0,1.0,0.02233048714697361,0.41999998688697815,-76823.59375,-0.0729975476861,3.4028234663852886e+38,1
22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,0,1.0,0.02233048714697361,10.125,-21541.673828125,0.19480088353157046,3.4028234663852886e+38,1
26.08,8.665,2,6,4,1.415,1,0,0,0,2,160,151,1,-1.0,0.008214927278459072,8.664999961853027,-15950.833984375,0.4883447289466858,3.4028234663852886e+38,0
23.17,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1,-1.0,0.008214927278459072,0.0,-22755.841796875,-3.402823466385289e+38,3.4028234663852886e+38,1
26.67,4.25,2,13,4,4.29,1,1,1,1,2,120,1,1,0.0,0.02233048714697361,3.25,-7169.15283203125,0.2665642201900482,3.4028234663852886e+38,1
22.67,0.75,2,3,4,1.585,0,1,1,1,2,400,10,0,1.0,0.02233048714697361,-0.25,-135840.921875,3.402823466385289e+38,3.4028234663852886e+38,1
41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,0,0.0,0.008214927278459072,1.25,-24.109865188598636,0.018776852637529373,3.4028234663852886e+38,1
22.0,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0,0.0,0.008214927278459072,-0.20999999344348907,-151031.765625,3.402823466385289e+38,3.4028234663852886e+38,1
34.75,15.0,2,12,7,5.375,1,1,9,1,2,0,135,1,0.0,0.02233048714697361,6.0,-24.109865188598636,0.4052236974239349,3.4028234663852886e+38,1
25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,21,1,0.0,0.02233048714697361,0.7099999785423279,-132168.203125,-0.077457495033741,3.4028234663852886e+38,1
73.42,17.75,2,1,1,0.0,1,0,0,1,2,0,1,1,0.0,0.02233048714697361,17.75,-24.109865188598636,0.6505223512649536,3.4028234663852886e+38,1
47.75,8.0,2,8,4,7.875,1,1,6,1,2,0,1261,1,0.0,0.02233048714697361,2.0,-24.109865188598636,0.15676192939281464,3.4028234663852886e+38,0
22.5,11.0,1,11,4,3.0,1,0,0,1,2,268,1,0,1.0,0.02233048714697361,11.0,-55645.37109375,0.20177562534809115,3.4028234663852886e+38,0
23.58,1.79,2,8,4,0.54,0,0,0,1,2,136,2,0,1.0,0.02233048714697361,1.7899999618530271,-10297.8251953125,0.048991676419973366,3.4028234663852886e+38,1
36.75,0.125,1,8,4,1.5,0,0,0,1,2,232,114,1,0.0,0.02233048714697361,0.125,-39821.859375,-0.4702857732772827,3.4028234663852886e+38,1
41.92,0.42,2,8,8,0.21,1,1,6,0,2,220,949,1,-1.0,0.008214927278459072,-5.579999923706055,-35123.35546875,3.402823466385289e+38,3.4028234663852886e+38,1
40.83,10.0,2,11,8,1.75,1,0,0,0,2,29,838,1,-1.0,0.008214927278459072,10.0,888.17138671875,0.5207518339157104,3.4028234663852886e+38,0
22.25,1.25,1,1,1,3.25,0,0,0,0,2,280,1,0,0.0,0.008214927278459072,1.25,-61495.87890625,0.018776852637529373,3.4028234663852886e+38,0
25.25,12.5,2,2,4,1.0,0,0,0,1,2,180,1063,0,1.0,0.02233048714697361,12.5,-21541.673828125,0.2125324159860611,3.4028234663852886e+38,0
19.75,0.75,2,8,4,0.795,1,1,5,1,2,140,6,0,1.0,0.02233048714697361,-4.25,-11159.9931640625,3.402823466385289e+38,3.4028234663852886e+38,0
40.92,2.25,1,14,8,10.0,1,0,0,1,2,176,1,0,1.0,0.02233048714697361,2.25,-20359.505859375,0.0682373195886612,3.4028234663852886e+38,1
53.33,0.165,2,1,1,0.0,0,0,0,1,1,62,28,0,1.0,0.02233048714697361,0.16500000655651093,-119.71549224853516,-0.05577671527862549,3.4028234663852886e+38,0
18.83,0.0,2,11,4,0.665,0,0,0,0,2,160,2,0,0.0,0.008214927278459072,0.0,-15950.833984375,-3.402823466385289e+38,3.4028234663852886e+38,1
40.58,5.0,2,8,4,5.0,1,1,7,0,2,0,3066,1,-1.0,0.008214927278459072,-2.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
30.75,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0,1.0,0.02233048714697361,1.5850000381469729,-24.109865188598636,0.014257824048399925,3.4028234663852886e+38,1
24.08,0.5,2,11,8,1.25,1,1,1,0,2,0,679,1,-1.0,0.008214927278459072,-0.5,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,0
34.83,2.5,1,9,4,3.0,0,0,0,0,1,200,1,0,0.0,0.008214927278459072,2.5,-27932.515625,0.02836464159190655,3.4028234663852886e+38,1
44.33,0.0,2,8,4,2.5,1,0,0,0,2,0,1,1,-1.0,0.008214927278459072,0.0,-24.109865188598636,-3.402823466385289e+38,3.4028234663852886e+38,0
48.17,7.625,2,9,8,15.5,1,1,12,0,2,0,791,1,-1.0,0.008214927278459072,-4.375,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
30.17,6.5,2,13,4,3.125,1,1,8,0,2,330,1201,1,-1.0,0.008214927278459072,-1.5,-88972.9765625,3.402823466385289e+38,3.4028234663852886e+38,1
41.0,0.04,2,10,4,0.04,0,1,1,0,1,560,1,1,-1.0,0.008214927278459072,-0.959999978542328,-279767.65625,3.402823466385289e+38,3.4028234663852886e+38,1
20.42,7.0,2,8,4,1.625,1,1,3,0,2,200,1392,1,-1.0,0.008214927278459072,4.0,-27932.515625,0.3135238587856293,3.4028234663852886e+38,1
23.58,11.5,1,4,8,3.0,0,0,0,1,2,20,17,0,1.0,0.02233048714697361,11.5,785.0496215820312,0.2055160999298096,3.4028234663852886e+38,0
18.58,10.0,2,2,4,0.415,0,0,0,0,2,80,43,0,0.0,0.008214927278459072,10.0,-1587.471923828125,0.19375555217266086,3.4028234663852886e+38,0
34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,201,0,1.0,0.02233048714697361,2.75,-39821.859375,0.08512315154075623,3.4028234663852886e+38,1
27.42,14.5,2,14,8,3.085,1,1,1,0,2,120,12,1,-1.0,0.008214927278459072,13.5,-7169.15283203125,0.5886234045028687,3.4028234663852886e+38,0
26.67,2.71,1,13,4,5.25,1,1,1,0,2,211,1,1,-1.0,0.008214927278459072,1.7100000381469729,-31788.4765625,0.12133316695690155,3.4028234663852886e+38,1
48.58,6.5,2,11,8,6.0,1,0,0,1,2,350,1,1,0.0,0.02233048714697361,6.5,-101363.8203125,0.4233261346817017,3.4028234663852886e+38,1
28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0,0.0,0.008214927278459072,0.125,-33621.1875,-0.17497870326042175,3.4028234663852886e+38,1
27.67,2.0,2,14,8,1.0,1,1,4,0,2,140,7545,1,-1.0,0.008214927278459072,-2.0,-11159.9931640625,3.402823466385289e+38,3.4028234663852886e+38,1
58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1,-1.0,0.008214927278459072,-1.5399999618530271,726.5830078125,3.402823466385289e+38,3.4028234663852886e+38,0
32.0,6.0,2,2,4,1.25,0,0,0,0,2,272,1,0,0.0,0.008214927278459072,6.0,-57563.5390625,0.1507711261510849,3.4028234663852886e+38,0
42.0,9.79,2,14,8,7.96,1,1,8,0,2,0,1,1,-1.0,0.008214927278459072,1.7899999618530271,-24.109865188598636,0.1316736787557602,3.4028234663852886e+38,1
25.5,0.375,2,7,4,0.25,1,1,3,0,2,260,15109,1,-1.0,0.008214927278459072,-2.625,-51905.03515625,3.402823466385289e+38,3.4028234663852886e+38,1
26.17,0.835,2,13,4,1.165,0,0,0,0,2,100,1,0,0.0,0.008214927278459072,0.8349999785423279,-3978.3125,-0.015173682011663912,3.4028234663852886e+38,1
25.17,6.0,2,8,4,1.0,1,1,3,0,2,0,1,1,-1.0,0.008214927278459072,3.0,-24.109865188598636,0.2484617829322815,3.4028234663852886e+38,1
60.08,14.5,2,1,1,18.0,1,1,15,1,2,0,1001,1,0.0,0.02233048714697361,-0.5,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
23.33,1.5,2,8,8,1.415,1,0,0,0,2,422,201,1,-1.0,0.008214927278459072,1.5,-152594.84375,0.09169984608888626,3.4028234663852886e+38,1
21.83,11.0,2,14,4,0.29,1,1,6,0,2,121,1,1,-1.0,0.008214927278459072,5.0,-7349.69482421875,0.363989919424057,3.4028234663852886e+38,1
22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1,0.0,0.02233048714697361,0.16500000655651093,-24.109865188598636,-0.149909645318985,3.4028234663852886e+38,1
22.92,1.25,2,11,4,0.25,0,0,0,1,2,120,810,0,1.0,0.02233048714697361,1.25,-7169.15283203125,0.018776852637529373,3.4028234663852886e+38,0
26.67,1.75,1,8,4,1.0,1,1,5,1,2,160,5778,1,0.0,0.02233048714697361,-3.25,-15950.833984375,3.402823466385289e+38,3.4028234663852886e+38,1
21.0,4.79,1,9,4,2.25,1,1,1,1,2,80,301,1,0.0,0.02233048714697361,3.7899999618530273,-1587.471923828125,0.3013274371623993,3.4028234663852886e+38,1
18.83,9.54,2,6,4,0.085,1,0,0,0,2,100,1,1,-1.0,0.008214927278459072,9.539999961853027,-3978.3125,0.5101016163825989,3.4028234663852886e+38,0
39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,1,0.0,0.02233048714697361,7.914999961853027,-692.0516967773438,0.4678699672222138,3.4028234663852886e+38,1
27.25,1.665,2,13,8,5.085,1,1,9,0,2,399,828,1,-1.0,0.008214927278459072,-7.335000038146973,-135102.375,3.402823466385289e+38,3.4028234663852886e+38,1
22.75,11.0,2,11,4,2.5,1,1,7,1,2,100,810,1,0.0,0.02233048714697361,4.0,-3978.3125,0.3135238587856293,3.4028234663852886e+38,1
25.0,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,1,-1.0,0.008214927278459072,-5.75,-27932.515625,3.402823466385289e+38,3.4028234663852886e+38,1
38.58,5.0,2,13,4,13.5,1,0,0,1,2,980,1,0,1.0,0.02233048714697361,5.0,-901175.3125,0.13542932271957395,3.4028234663852886e+38,0
33.25,2.5,1,8,4,2.5,0,0,0,1,2,0,3,0,1.0,0.02233048714697361,2.5,-24.109865188598636,0.07710308581590652,3.4028234663852886e+38,0
20.42,0.835,2,11,4,1.585,1,1,1,0,2,0,1,1,-1.0,0.008214927278459072,-0.16500000655651093,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,0
48.75,8.5,2,8,8,12.5,1,1,9,0,2,181,1656,1,-1.0,0.008214927278459072,-0.5,-21842.216796875,3.402823466385289e+38,3.4028234663852886e+38,1
30.67,12.0,2,8,4,2.0,1,1,1,0,2,220,20,1,-1.0,0.008214927278459072,11.0,-35123.35546875,0.5423071980476379,3.4028234663852886e+38,0
31.57,0.375,2,2,4,0.875,1,0,0,1,1,928,1,0,1.0,0.02233048714697361,0.375,-805103.125,-0.030362490564584725,3.4028234663852886e+38,1
24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0,0.0,0.008214927278459072,1.75,-9467.6572265625,0.047089971601963036,3.4028234663852886e+38,0
23.75,12.0,2,8,4,2.085,0,0,0,0,1,80,1,0,0.0,0.008214927278459072,12.0,-1587.471923828125,0.07692261785268784,3.4028234663852886e+38,1
35.42,12.0,2,11,8,14.0,1,1,8,0,2,0,6591,1,-1.0,0.008214927278459072,4.0,-24.109865188598636,0.3135238587856293,3.4028234663852886e+38,0
44.83,7.0,1,8,4,1.625,0,0,0,0,2,160,3,0,0.0,0.008214927278459072,7.0,-15950.833984375,0.16374243795871735,3.4028234663852886e+38,1
20.42,0.0,2,8,4,0.0,0,0,0,0,3,184,1,0,0.0,0.008214927278459072,0.0,-22755.841796875,-3.402823466385289e+38,3.4028234663852886e+38,1
45.17,1.5,2,8,4,2.5,1,0,0,1,2,140,1,0,1.0,0.02233048714697361,1.5,-11159.9931640625,0.0341186597943306,3.4028234663852886e+38,1
33.92,1.585,1,1,1,0.0,1,0,0,0,2,320,1,0,0.0,0.008214927278459072,1.5850000381469729,-83077.5546875,0.038756784051656716,3.4028234663852886e+38,0
64.08,20.0,2,14,8,17.5,1,1,9,1,2,0,1001,1,0.0,0.02233048714697361,11.0,-24.109865188598636,0.5423071980476379,3.4028234663852886e+38,1
32.0,1.75,1,10,8,0.04,1,0,0,1,2,393,1,1,0.0,0.02233048714697361,1.75,-130713.125,0.12656252086162567,3.4028234663852886e+38,1
23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,0,0.0,0.008214927278459072,0.5849999785423279,-21541.673828125,-0.04511484876275063,3.4028234663852886e+38,1
38.58,3.335,2,9,4,4.0,1,1,14,0,2,383,1345,1,-1.0,0.008214927278459072,-10.664999961853027,-123557.703125,3.402823466385289e+38,3.4028234663852886e+38,1
20.08,0.25,2,11,4,0.125,0,0,0,0,2,200,1,0,0.0,0.008214927278459072,0.25,-27932.515625,-0.1166524663567543,3.4028234663852886e+38,1
33.17,2.25,1,13,4,3.5,0,0,0,1,2,200,142,0,1.0,0.02233048714697361,2.25,-27932.515625,0.0682373195886612,3.4028234663852886e+38,0
23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,0,1.0,0.02233048714697361,0.8349999785423279,-35123.35546875,-0.015173682011663912,3.4028234663852886e+38,1
43.08,0.375,1,8,4,0.375,1,1,8,1,2,300,163,1,0.0,0.02233048714697361,-7.625,-71886.71875,3.402823466385289e+38,3.4028234663852886e+38,1
50.75,0.585,2,1,1,0.0,0,0,0,0,2,145,1,0,0.0,0.008214927278459072,0.5849999785423279,-12282.7041015625,-0.04511484876275063,3.4028234663852886e+38,1
23.5,9.0,2,11,4,8.5,1,1,5,1,2,120,1,1,0.0,0.02233048714697361,4.0,-7169.15283203125,0.3135238587856293,3.4028234663852886e+38,0
31.83,2.5,2,6,4,7.5,1,0,0,1,2,523,1,0,1.0,0.02233048714697361,2.5,-241933.59375,0.07710308581590652,3.4028234663852886e+38,1
19.17,4.0,1,3,4,1.0,0,0,0,1,2,360,1001,0,1.0,0.02233048714697361,4.0,-107859.2421875,0.1166524663567543,3.4028234663852886e+38,1
24.75,3.0,2,11,8,1.835,1,1,19,0,2,0,501,1,-1.0,0.008214927278459072,-16.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,0
24.83,4.5,2,9,4,1.0,0,0,0,1,2,360,7,0,1.0,0.02233048714697361,4.5,-107859.2421875,0.12656354904174805,3.4028234663852886e+38,0
80.25,5.5,2,8,4,0.54,1,0,0,0,2,0,341,0,0.0,0.008214927278459072,5.5,-24.109865188598636,0.14344939589500427,3.4028234663852886e+38,1
17.83,11.0,2,14,8,1.0,1,1,11,0,2,0,3001,1,-1.0,0.008214927278459072,0.0,-24.109865188598636,-3.402823466385289e+38,3.4028234663852886e+38,0
24.75,0.54,2,7,4,1.0,0,0,0,1,2,120,2,0,1.0,0.02233048714697361,0.5400000214576721,-7169.15283203125,-0.051850192248821265,3.4028234663852886e+38,1
20.83,3.0,2,6,4,0.04,1,0,0,0,2,100,1,1,-1.0,0.008214927278459072,3.0,-3978.3125,0.2484617829322815,3.4028234663852886e+38,0
36.42,0.75,1,2,4,0.585,0,0,0,0,2,240,4,0,0.0,0.008214927278459072,0.75,-43114.1953125,-0.024207575246691704,3.4028234663852886e+38,1
34.92,5.0,2,14,8,7.5,1,1,6,1,2,0,1001,1,0.0,0.02233048714697361,-1.0,-24.109865188598636,3.402823466385289e+38,3.4028234663852886e+38,1
23.17,11.125,2,14,8,0.46,1,1,1,0,2,100,1,1,-1.0,0.008214927278459072,10.125,-3978.3125,0.5235613584518433,3.4028234663852886e+38,1
37.33,2.665,2,13,4,0.165,0,0,0,1,2,0,502,0,1.0,0.02233048714697361,2.664999961853028,-24.109865188598636,0.08248119801282883,3.4028234663852886e+38,1
55.92,11.5,2,1,1,5.0,1,1,5,0,2,0,8852,1,-1.0,0.008214927278459072,6.5,-24.109865188598636,0.4233261346817017,3.4028234663852886e+38,1
38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0,1.0,0.02233048714697361,1.75,-71886.71875,0.047089971601963036,3.4028234663852886e+38,1
27.17,1.25,2,1,1,0.0,0,1,1,0,2,92,301,0,0.0,0.008214927278459072,0.25,-2925.976318359375,-0.1166524663567543,3.4028234663852886e+38,0
24.42,2.0,2,10,2,0.165,0,1,2,0,2,320,1301,0,0.0,0.008214927278459072,0.0,-83077.5546875,-3.402823466385289e+38,3.4028234663852886e+38,1
37.75,7.0,2,11,8,11.5,1,1,7,1,2,300,6,0,1.0,0.02233048714697361,0.0,-71886.71875,-3.402823466385289e+38,3.4028234663852886e+38,1
39.58,5.0,2,1,1,0.0,0,1,2,0,2,17,2,0,0.0,0.008214927278459072,3.0,714.6756591796875,0.09244489669799803,3.4028234663852886e+38,1
29.83,1.25,1,4,4,0.25,0,0,0,0,2,224,1,0,0.0,0.008214927278459072,1.25,-36657.5234375,0.018776852637529373,3.4028234663852886e+38,1
38.33,4.415,2,8,4,0.125,0,0,0,0,2,160,1,0,0.0,0.008214927278459072,4.414999961853027,-15950.833984375,0.12495890259742735,3.4028234663852886e+38,0
28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,0,1.0,0.02233048714697361,2.75,794.2091064453125,0.08512315154075623,3.4028234663852886e+38,0
41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0,0.0,0.008214927278459072,1.75,-15950.833984375,0.047089971601963036,3.4028234663852886e+38,1
19.0,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0,1.0,0.02233048714697361,1.75,-5796.81689453125,0.047089971601963036,3.4028234663852886e+38,1
20.0,7.0,2,8,4,0.5,0,0,0,0,2,0,1,0,0.0,0.008214927278459072,7.0,-24.109865188598636,0.16374243795871735,3.4028234663852886e+38,1
28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,8,1,0.0,0.02233048714697361,-2.9600000381469727,-12054.162109375,3.402823466385289e+38,3.4028234663852886e+38,1
24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,0,0.0,0.008214927278459072,13.664999961853027,-61495.87890625,0.22003068029880524,3.4028234663852886e+38,0
57.08,0.335,2,3,5,1.0,1,0,0,1,2,252,2198,0,1.0,0.02233048714697361,0.3350000083446503,-48292.69921875,-0.09202520549297333,3.4028234663852886e+38,0
39.17,1.71,2,14,4,0.125,1,1,5,1,2,480,1,1,0.0,0.02233048714697361,-3.289999961853028,-201404.28125,3.402823466385289e+38,3.4028234663852886e+38,1
60.58,16.5,2,11,4,11.0,1,0,0,1,2,21,10562,1,0.0,0.02233048714697361,16.5,804.507568359375,0.6340070366859436,3.4028234663852886e+38,0
20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,352,0,0.0,0.008214927278459072,8.5,-24.109865188598636,0.18008007109165192,3.4028234663852886e+38,0
18.08,5.5,2,4,4,0.5,1,0,0,0,2,80,1,1,-1.0,0.008214927278459072,5.5,-1587.471923828125,0.3855452537536621,3.4028234663852886e+38,1
21.17,0.25,1,8,8,0.25,0,0,0,0,2,280,205,0,0.0,0.008214927278459072,0.25,-61495.87890625,-0.1166524663567543,3.4028234663852886e+38,1
21.67,11.5,1,5,3,0.0,1,1,11,1,2,0,1,1,0.0,0.02233048714697361,0.5,-24.109865188598636,-0.15676192939281464,3.4028234663852886e+38,0
42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,1,0.0,0.02233048714697361,4.914999961853027,415.7047729492188,0.36011216044425964,3.4028234663852886e+38,1
22.58,10.04,2,14,4,0.04,1,1,9,0,2,60,397,1,-1.0,0.008214927278459072,1.0399999618530271,3.368560791015625,0.008870134130120277,3.4028234663852886e+38,1
57.42,8.5,2,10,8,7.0,1,1,3,0,2,0,1,1,-1.0,0.008214927278459072,5.5,-24.109865188598636,0.3855452537536621,3.4028234663852886e+38,1
58.42,21.0,2,3,5,10.0,1,1,13,0,2,0,6701,1,-1.0,0.008214927278459072,8.0,-24.109865188598636,0.4702857732772827,3.4028234663852886e+38,0
21.83,1.54,2,4,4,0.085,0,0,0,1,2,356,1,0,1.0,0.02233048714697361,1.5399999618530271,-105237.0703125,0.036333180963993066,3.4028234663852886e+38,1
42.0,0.205,2,3,8,5.125,1,0,0,0,2,400,1,1,-1.0,0.008214927278459072,0.20499999821186066,-135840.921875,-0.3584054410457611,3.4028234663852886e+38,1
